date,title_el,title_en,who_el,who_en,what_el,what_en,where_el,where_en,when_el,when_en,why_el,why_en,lat,lng,region_el,region_en,photo_url,actor_photos,actor_names_el,actor_names_en,sources,youtube_url,chart_type,chart_data,tags_el,tags_en
2023-02-28,Ορίζεται ο πραγματογνώμονας Πατζόπουλος,Expert Patzopoulos is appointed,Αστυνομικός της Τροχαίας και ο πραγματογνώμονας Πατζόπουλος.,Traffic police officer and ο expert witness Patzopoulos.,"Ο Πατζόπουλος ορίζεται πραγματογνώμονας, παρότι είναι υπάλληλος της Περιφέρειας.","The Patzopoulos ορίζεται expert witness, παρότι είναι υπάλληλος of the Region of Thessalyς.",Λάρισα / πεδίο διερεύνησης της σύγκρουσης.,Larisa / πεδίο διερεύνησης of the σύγκρουσης.,"2023-02-28, το βράδυ της σύγκρουσης.","2023-02-28, το βράδυ of the σύγκρουσης.",Αναλαμβάνει να λειτουργήσει ως τεχνικός πραγματογνώμονας για την υπόθεση του δυστυχήματος.,Αναλαμβάνει to λειτουργήσει ως τεχνικός expert witness for the υπόθεση of the δυστυχήματος.,39.6390,22.4191,Θεσσαλία,Thessaly,,,Πατζόπουλος,Patzopoulos,"Συνέντευξη 05/04/2026, γραμμή 23::file:///Users/troboukis/Code/timeline-app/tempi/videos-trial/source-transcriptions/konstantopoulou_5_4_2026.txt",,,,πραγματογνωμοσύνη|πρόσωπα,expert_report|people
2023-02-28,Σιδηροδρομικό δυστύχημα στα Τέμπη,Tempi railway disaster,"Επιβατική και εμπορική αμαξοστοιχία, επιβάτες, εργαζόμενοι και κρατικές αρχές.","Επιβατική and freight train, passengers, workers and state authorities.",Συγκρούονται οι δύο αμαξοστοιχίες και ανοίγει η υπόθεση που αργότερα συνδέεται και με τη διαχείριση του βιντεοληπτικού υλικού.,Συγκρούονται οι δύο αμαξοστοιχίες and ανοίγει η υπόθεση που αργότερα συνδέεται and with τη διαχείριση of the βιντεοληπτικού υλικού.,"Περιοχή Τεμπών, Ελλάδα.","Tempi area, Greece.",2023-02-28.,2023-02-28.,"Το δυστύχημα είναι το αρχικό γεγονός που ενεργοποιεί ανακριτικές πράξεις, πραγματογνωμοσύνες και διαμάχη για τα βίντεο.","The δυστύχημα είναι το αρχικό γεγονός που ενεργοποιεί ανακριτικές πράξεις, πραγματογνωμοσύνες and διαμάχη for τα βίντεο.",39.8796,22.5887,Θεσσαλία,Thessaly,,,,,Reuters 2025::NaN|Ημερησία 28/03/2025::https://www.imerisia.gr/koinonia/107697_tempi-gnisia-ta-binteo-tis-interstar-leei-i-elas,https://youtu.be/FbaXw-Dd0xo?si=2q6arLslMaxiXZ3U,,,δυστύχημα|αφετηρία,accident|origin
2023-03-01,Καταγράφεται οπτικό υλικό στο πεδίο,Visual material is recorded at the scene,Ο πραγματογνώμονας Πατζόπουλος.,The expert witness Patzopoulos.,Καταγράφει φωτογραφίες και βίντεο με κινητό τηλέφωνο από το πεδίο της σύγκρουσης.,Καταγράφει φωτογραφίες and βίντεο with κινητό τηλέφωνο from το πεδίο of the σύγκρουσης.,Σημείο του δυστυχήματος στα Τέμπη.,Site of the Tempi crash.,2023-03-01.,2023-03-01.,Το υλικό παρουσιάζεται ως μέρος της τεχνικής αποτύπωσης του συμβάντος.,The υλικό παρουσιάζεται ως μέρος of the τεχνικής αποτύπωσης of the συμβάντος.,39.8796,22.5887,Θεσσαλία,Thessaly,,,Πατζόπουλος,Patzopoulos,"Larissanet 06/03/2026::NaN|Συνέντευξη 05/04/2026, γραμμή 23::file:///Users/troboukis/Code/timeline-app/tempi/videos-trial/source-transcriptions/konstantopoulou_5_4_2026.txt",,,,πραγματογνωμοσύνη|βίντεο,expert_report|videos
2025-02-05,Παραδίδονται τρία νέα βίντεο στον εφέτη ανακριτή,Three new videos are delivered to the appellate investigating judge,"Η εταιρεία Interstar, ο δικηγόρος Βασίλης Καπερνάρος και ο εφέτης ανακριτής.","Interstar, ο δικηγόρος Vasilis Kapernaros and ο appellate investigating judge.",Κατατίθενται τρία βίντεο που φέρονται να δείχνουν την εμπορική αμαξοστοιχία λίγο πριν από τη σύγκρουση.,Κατατίθενται τρία βίντεο που φέρονται to δείχνουν the freight train λίγο πριν from τη σύγκρουση.,Ανακριτική διαδικασία για την υπόθεση των Τεμπών.,Investigative process in the Tempi case.,2025-02-05.,2025-02-05.,Η Interstar επιδιώκει να εισαγάγει νέο οπτικό υλικό στη δικογραφία σχεδόν δύο χρόνια μετά το δυστύχημα.,The Interstar επιδιώκει to εισαγάγει νέο οπτικό υλικό at the δικογραφία σχεδόν δύο χρόνια μετά το δυστύχημα.,39.8796,22.5887,Θεσσαλία,Thessaly,,,Βασίλης Καπερνάρος,Vasilis Kapernaros,Ημερησία 28/03/2025::https://www.imerisia.gr/koinonia/107697_tempi-gnisia-ta-binteo-tis-interstar-leei-i-elas|NB Daily 28/03/2025::https://daily.nb.org/nomika-nea/tebi-gnisia-ta-vinteo-tis-eborikis-amaxostoichias/,,,,βίντεο|ανακριτική διαδικασία,videos|investigative_process
2025-02-13,Κατατίθεται μήνυση για χαμένα αρχεία ήχου και εικόνας,A criminal complaint is filed over missing audio and image files,Συγγενείς θυμάτων και ο δικηγόρος τους Βασίλης Σωτηρόπουλος.,Συγγενείς θυμάof the and ο δικηγόρος τους Vasilis Sotiropoulos.,"Καταθέτουν μήνυση κατά του εφέτη ανακριτή για εκατοντάδες χιλιάδες αρχεία ήχου και εικόνας που, όπως υποστηρίζουν, λείπουν από το αποδεικτικό υλικό.","Καταθέτουν μήνυση κατά of the εφέτη ανακριτή for εκατοντάδες χιλιάδες αρχεία ήχου and εικόνας που, όπως υποστηρίζουν, λείπουν from το αποδεικτικό υλικό.",Εισαγγελία Πρωτοδικών Λάρισας.,Larisa First Instance Prosecutor's Office.,2025-02-13.,2025-02-13.,Επιχειρούν να ανοίξουν νέα ποινική διερεύνηση για τον χειρισμό κρίσιμων ψηφιακών δεδομένων της υπόθεσης.,Επιχειρούν to ανοίξουν νέα ποινική διερεύνηση for the χειρισμό κρίσιμων ψηφιακών δεδομένων of the υπόθεσης.,39.6390,22.4191,Θεσσαλία,Thessaly,,,Βασίλης Σωτηρόπουλος,Vasilis Sotiropoulos,Reporter 13/02/2025::NaN|News247 14/02/2025::NaN,,,,μηνύσεις|βίντεο|αρχεία,complaints|videos|files
2025-02-13,Οι πραγματογνώμονες ταυτοποιούν την αμαξοστοιχία στα νέα βίντεο,Experts identify the train in the new videos,Οι δικαστικοί πραγματογνώμονες Δημήτρης Κωνσταντόπουλος και Βασίλης Κοκοτσάκης.,The δικαστικοί πραγματογνώμονες Dimitris Konstantopoulos and Vasilis Kokotsakis.,Παραδίδουν έκθεση που αναφέρει ότι το εικονιζόμενο τρένο είναι η εμπορική αμαξοστοιχία και ότι δεν φαίνεται δηλωμένο παράνομο φορτίο στις συγκεκριμένες λήψεις.,Παραδίδουν έκθεση που αναφέρει ότι το εικονιζόμενο τρένο είναι η freight train and ότι not φαίνεται δηλωμένο παράνομο φορτίο στις συγκεκριμένες λήψεις.,Ανακριτική διαδικασία για την υπόθεση των Τεμπών.,Investigative process in the Tempi case.,2025-02-13.,2025-02-13.,Καλούνται να αξιολογήσουν τη γνησιότητα και το περιεχόμενο των τριών βίντεο που κατατέθηκαν στις 5 Φεβρουαρίου.,Καλούνται to αξιολογήσουν τη γνησιότητα and το περιεχόμενο of the τριών βίντεο που κατατέθηκαν στις 5 Φεβρουαρίου.,39.8796,22.5887,Θεσσαλία,Thessaly,,,"Δημήτρης Κωνσταντόπουλος, Βασίλης Κοκοτσάκης","Dimitris Konstantopoulos, Vasilis Kokotsakis",Το Βήμα 14/02/2025::NaN|ProtoThema 14/02/2025::NaN,,,,βίντεο|πραγματογνωμοσύνη,videos|expert_report
2025-03-28,Γίνονται έφοδοι και κατασχέσεις καταγραφικών μετά την παράδοση των αρχείων,Raids and DVR seizures follow the delivery of the files,Αστυνομικές αρχές.,Police authorities.,Μετά την παράδοση των αρχείων αναφέρεται ότι έγιναν έφοδοι και κατασχέθηκαν καταγραφικά καμερών.,"After the files were delivered, raids reportedly took place and camera recorders were seized.",Αττική και Πλαταμώνας.,Attica and Platamonas.,2025-03-28 (δημοσιοποίηση αποτελεσμάτων).,2025-03-28 (publication of the findings).,Επηρεάζει την αλυσίδα κατοχής και τον έλεγχο αξιοπιστίας των ψηφιακών πειστηρίων.,It affects the chain of custody and the reliability review of the digital evidence.,39.9890,22.6282,Ελλάδα,Greece,,,,,Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,βίντεο|κατασχέσεις|αλυσίδα κατοχής,videos|seizures|chain_of_custody
2025-03-28,Η Διεύθυνση Εγκληματολογικών Ερευνών κρίνει γνήσια τα τρία αντίγραφα,The Directorate of Criminal Investigations deems the three copies genuine,Διεύθυνση Εγκληματολογικών Ερευνών της ΕΛ.ΑΣ.,Directorate of Criminal Investigations of the Hellenic Police,Δημοσιοποιείται ότι τα αντίγραφα των βίντεο που παραδόθηκαν στις 5 Φεβρουαρίου κρίθηκαν γνήσια.,Δημοσιοποιείται ότι τα αντίγραφα of the βίντεο που παραδόθηκαν στις 5 Φεβρουαρίου κρίθηκαν γνήσια.,Εργαστηριακή πραγματογνωμοσύνη της ΕΛ.ΑΣ.,Hellenic Police laboratory forensic examination,2025-03-28.,2025-03-28.,Η αστυνομική εργαστηριακή εξέταση ολοκληρώνει τον έλεγχο της αυθεντικότητας των αρχείων.,The αστυνομική εργαστηριακή εξέταση ολοκληρώνει the έλεγχο of the αυθεντικότητας of the αρχείων.,39.0742,21.8243,Ελλάδα,Greece,,,,,Ημερησία 28/03/2025::https://www.imerisia.gr/koinonia/107697_tempi-gnisia-ta-binteo-tis-interstar-leei-i-elas|NB Daily 28/03/2025::https://daily.nb.org/nomika-nea/tebi-gnisia-ta-vinteo-tis-eborikis-amaxostoichias/|Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,βίντεο|γνησιότητα,videos|authenticity
2025-05-10,Αποκαλύπτεται ότι η ύπαρξη των βίντεο ήταν γνωστή από νωρίτερα,It is revealed that the existence of the videos was known earlier,Ειδικός δικαστικός πραγματογνώμονας και ανακριτικές αρχές.,Ειδικός δικαστικός expert witness and ανακριτικές αρχές.,Γίνεται γνωστό ότι η ανεύρεση των τριών βίντεο είχε γνωστοποιηθεί στις αρχές ήδη από τον Νοέμβριο του 2024.,Γίνεται γνωστό ότι η ανεύρεση of the τριών βίντεο είχε γνωστοποιηθεί στις αρχές ήδη from the Νοέμβριο of the 2024.,Δικογραφία και δημόσια συζήτηση για τα Τέμπη.,Case file and public discussion about Tempi.,2025-05-10.,2025-05-10.,Η αποκάλυψη εγείρει ερωτήματα για το γιατί τα βίντεο μπήκαν αργότερα στη δημόσια και δικαστική συζήτηση.,The αποκάλυψη εγείρει ερωτήματα for το γιατί τα βίντεο μπήκαν αργότερα at the δημόσια and δικαστική συζήτηση.,39.8796,22.5887,Θεσσαλία,Thessaly,,,,,The Press Project 10/05/2025::NaN,,,,βίντεο|χρονισμός αποκάλυψης,videos|disclosure_timing
2025-06-12,Πρώτη δίκη για τα χαμένα βίντεο και αναβολή,First trial over the missing videos and adjournment,"Μονομελές Πλημμελειοδικείο Λάρισας, ο πρώην πρόεδρος του ΟΣΕ Σπύρος Πατέρας, ο διευθύνων σύμβουλος του ΟΣΕ Παναγιώτης Τερεζάκης, ο νόμιμος εκπρόσωπος της Interstar Security, συνήγοροι οικογενειών και υπεράσπιση.","Single-Member Misdemeanor Court of Larisa, ο πρώην πρόεδρος of the OSE Spyros Pateras, ο διευθύνων σύμβουλος of the OSE Panagiotis Terezakis, ο νόμιμος εκπρόσωπος of the Interstar Security, lawyers for the victims' families and defense.",Ξεκινά η πρώτη δίκη για τα εξαφανισμένα ή χαμένα βίντεο και δίνεται αναβολή με νέα δικάσιμο στις 15 Οκτωβρίου 2025.,The first trial over the missing videos opens and is adjourned to 15 October 2025.,Λάρισα.,Larisa.,2025-06-12.,2025-06-12.,Καταγράφεται ότι η διαχείριση του βιντεοληπτικού υλικού αποτέλεσε αυτοτελές ποινικό αντικείμενο πριν από την κύρια δίκη του δυστυχήματος.,It establishes that the handling of the video material became a standalone criminal case before the main Tempi trial.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Σπύρος Πατέρας, Παναγιώτης Τερεζάκης","Spyros Pateras, Panagiotis Terezakis",LarissaPress 11/06/2025::https://www.larissapress.gr/2025/06/11/sti-larisa-simera-i-proti-diki-pou-schetizetai-me-tin-tragodia-sta-tempi/|Euro2day 11/06/2025::NaN|OnLarissa 30/10/2025::NaN|Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,διαδικασία|δικάσιμοι|κατηγορούμενοι,procedure|hearings|defendants
